COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
311,317,$TONY THE TIGER T-SH,ASST,1,9900090
311,1313000002,NAB SHREDDED WHEAT,10 OZ,12,2513101
311,1313000005,NABISCO SHREDDED WHE,15 OZ,12,2513120
311,1313000032,NABISCO 100% BRAN,17 OZ,12,2513951
311,1313000050,NAB SPOON SIZE SHRED,23.45O,12,2516761
311,1313000054,NAB SPOON SIZE SHRED,17.2 O,12,2513051
311,1313000148,NABISCO TEAM FLAKES,13 OZ,12,2513600
311,1313000698,NABISCO CREAM OF RIC,14 OZ,12,251690
311,1313001041,NABISCO OAT BRAN RAI,15.5 O,12,2513551
311,1313001059,NABISCO WHEAT N BRAN,18 OZ,12,2513131
311,1313001145,NABISCO FRUIT WHEATS,15.5 O,12,2513500
311,1313001146,NAB RASPBERRY FRUIT,15.5 O,12,251352
311,1313001854,NAB SHRED WHT W/OAT,18 OZ,12,2513121
311,1313002033,NABISCO 100% BRAN W/,17 OZ,12,2513900
311,1313002401,TEDDY GRAHAMS BRKFST,15 OZ,12,2513201
311,1313002402,TEDDY GRAHAMS BRKFST,15 OZ,12,2513251
311,1313002403,TEDDY GRAHAMS BRKFST,15 OZ,12,2513351
311,1313005152,NAB FROST WHEAT SQUA,15 OZ,12,2513161
311,1313005154,NAB FROSTED WHEAT,20 OZ,12,2508120
311,1313018155,~NABISCO FROSTED WHE,15 OZ,14,2513121
311,1600000000,BERRY KIX/WHT TOTAL/,1 CT,1,9825091
311,1600062360,TRIPLES/KRAFT MARSHM,18.7 O,21,2508221
311,1600062370,$ GEN MILLS TRIPLES,13.3 O,16,2508201
311,1600062380,G. MILLS TRIPLES,18.75O,14,2508221
311,1600062580,G. MILLS BENEFIT W/R,15 OZ,12,250440
311,1600062600,G. MILLS BENEFIT CER,12.5 O,12,250435
311,1600062640,G.M. BERRY BERRY KIX,18 OZ,14,2503600
311,1600062680,BERRY BERRY KIX,12.7 O,16,2503141
311,1600062740,BIG G APPLE-CIN CHEE,1.35 O,72,9835081
311,1600062750,APPLE CINNAMON CHERR,15 OZ,16,2502701
311,1600062760,APPLE CINNAMON CHEER,21 OZ,14,2502721
311,1600063100,~RIPPLE CRISP HONEY-,15 OZ,12,2502561
311,1600063110,~RIPPLE CRISP-GOLDEN,13.5OZ,12,2502541
311,1600063830,WHEATIES HONEY GOLD,14.75O,16,2502421
311,1600063840,WHEATIES HONEY GOLD,21.25O,14,2502501
311,1600064300,FROSTED CHEERIOS,14.2 O,16,2503011
311,1600064310,FROSTED CHEERIOS,20.2 O,14,2503031
311,1600064360,BIG G BREAKFAST PACK,7.5 OZ,12,2505221
311,1600064380,GENERAL MILLS SUN CR,14 OZ,12,2502911
311,1600064400,GENERAL MILLS SUN CR,14.5 O,12,2502911
311,1600064450,BIG G SPRINKLE SPANG,13 OZ,16,2502751
311,1600064670,GM PEANUT BUTTER PUF,14.25,16,2503471
311,1600064730,~GM HIDDEN TREASURES,13.75O,12,2503451
311,1600064740,WHEATIES DUNKA-BALLS,13.5OZ,16,9825201
311,1600064760,WHEATIES QUARTERBACK,13.5OZ,16,9825391
311,1600064820,BASIC 4,14.5 O,12,2508181
311,1600064840,BASIC 4,14.8 O,12,2508181
311,1600065110,GM N.V LOWFAT GRANOL,17 OZ,12,2508601
311,1600065120,B.C CINN STREUSEL CE,13.75O,12,2503901
311,1600065130,BC DUTCH APPLE CEREA,16.5OZ,12,2503951
311,1600065190,CHEERIOS BND PK,30 OZ,7,9825171
311,1600065400,SMORES CRUNCH CEREAL,14 OZ,12,2502410
311,1600065420,GENERAL MILLS CLUSTE,13 OZ,12,2502661
311,1600065490,CLUSTERS TRIAL SIZE,1.7OZ,72,983852
311,1600065600,G.M. FIBER ONE,16 OZ,12,2502610
311,1600065620,G.M. FIBER ONE,16 OZ,12,2502620
311,1600065700,CINNAMON TOAST CRUNC,14 OZ,12,2504001
311,1600065720,CINNAMON TOAST CRUNC,20.3 O,12,2504021
311,1600065727,CINNAMON TOAST CRUNC,14 OZ,12,2504001
311,1600065850,WHOLE GRAIN TOTAL,12 OZ,16,2503701
311,1600065890,TOTAL,18 OZ,14,2503651
311,1600065910,GENERAL MILLS CLUSTE,15.5OZ,12,2502661
311,1600065920,GENERAL MILLS CLUSTE,15.5OZ,12,2502661
311,1600065960,TOTAL CORN FLAKES,10 OZ,16,2508161
311,1600065980,RAISIN NUT BRAN,15 OZ,12,2502631
311,1600065990,GM RAISIN NUT BRAN,20 OZ,16,2507921
311,1600066110,WHEATIES,12 OZ,16,2502601
311,1600066210,WHEATIES,18 OZ,14,2502401
311,1600066310,KIX,9 OZ,16,2503101
311,1600066370,KIX,13 OZ,14,2503121
311,1600066510,CHEERIOS,10 OZ,16,2502801
311,1600066590,HONEY NUT CHEERIOS,14 OZ,16,2503001
311,1600066610,CHEERIOS,15 OZ,14,2502901
311,1600066660,CHEERIOS,20 OZ,12,2502951
311,1600066740,CHEERIOS CRAYOLA TRA,8.75 O,12,9825551
311,1600066750,HONEY NUT CHEERIOS,20 OZ,14,2503051
311,1600066820,H.N. CHEERIOS BND PK,28 OZ,8,9825191
311,1600066950,HONEY NUT CHEERIOS,27 OZ,12,2503071
311,1600066960,OATMEAL RAISIN CRISP,2.3OZ,72,983309
311,1600066970,OATMEAL CRISP W/RAIS,15 OZ,12,2502941
311,1600067030,OATMEAL RAISIN CRISP,20 OZ,12,2507911
311,1600067070,OATMEAL CRISP CEREAL,18.25O,12,2504321
311,1600067110,BIG G OATMEAL CRISP,15.5OZ,12,2507891
311,1600067140,OATMEAL CRISP WITH A,15 OZ,12,2507931
311,1600067350,BIG G TRIAL SIZE PAL,ASSTD,720,9825301
311,1600067400,TRIX,17 OZ,14,2504181
311,1600067440,TRIX,12 OZ,16,2504171
311,1600067460,TRIX/CHEERIOS CRAYOL,ASSTD,288,825401
311,1600067720,BIG G TRAIL SIZE PAL,1,720,9825231
311,1600067970,GOLDEN GRAHAMS,18 OZ,12,2503801
311,1600068050,GOLDEN GRAHAMS,12 OZ,12,2503851
311,1600068090,BUNUELITOS CEREAL,12.5OZ,16,2503110
311,1600068100,BIG G TRAIL SIZE PAL,1,720,9825231
311,1600068170,COCOA PUFFS,12 OZ,12,2503301
311,1600068260,COCOA PUFFS,13.8 O,16,2503301
311,1600068270,BIG G TRIAL SIZE PAL,ASSTD,720,9825301
311,1600068290,HONEY NUT CHEERIOS,27 OZ,10,2503071
311,1600068310,GM TOTAL RAISIN BRAN,13.5OZ,12,2502651
311,1600068330,TOTAL RAISIN BRAN,20 OZ,16,2502641
311,1600068350,TOTAL RAISIN BRAN,18 OZ,12,2502631
311,1600068360,TOTAL RAISIN BRAN,24 OZ,14,2502641
311,1600068450,CRISPY WHEATS & RAIS,18 OZ,16,2502981
311,1600068500,BIG G TRAIL SIZE PAL,1,720,9825231
311,1600068560,FRANKENBERRY CEREAL,12 OZ,16,2508140
311,1600068640,COUNT CHOCULA CEREAL,12 OZ,16,2504501
311,1600068780,MULTI GRAIN CHEERIOS,11.25O,16,2502821
311,1600068790,MULTI GRAIN CHEERIOS,16 OZ,14,2502920
311,1600068870,LUCKY CHARMS,14 OZ,16,2504201
311,1600068879,HOLIDAY LUCKY CHARMS,14 OZ,24,9834651
311,1600068890,LUCKY CHARMS,20 OZ,14,2504221
311,1600068920,GENERAL MILLS KABOOM,10 OZ,16,2508150
311,1600069270,HONEY NUT CHEERIOS,27 OZ,10,2503071
311,1600069320,GOLDEN GRAHAMS,13 OZ,12,2503861
311,1600069750,~TEAM USA CHERRIOS (,13 OZ,16,9825321
311,1600069820,GEN MLLS FRENCH TOAS,15.75O,16,2504101
311,1600069880,SINGLE VARIETY PACK,6 OZ,10,2503391
311,1600069900,HONEY TOASTED OAT FI,9 OZ,16,2503371
311,1600069910,CINNAMON FINGOS,8.25 O,16,2503351
311,1600081570,GM JURASSIC CRUNCH C,11.25O,12,9825211
311,1600084320,FROSTED CHEERIOS,28 OZ,10,2503751
